[HIỆU SUẤT TUẦN — % thay đổi 5 phiên]
  WTI: +8.4%
  Ngô: +8.4%
  Bạc: +4.7%
  Brent: +4.0%
  Đậu t.: +3.0%
  Khí TN: +2.1%
  Đồng: +2.0%
  Vàng: +1.1%
  DXY: +0.7%
  Lúa mì: -1.2%
→ Tốt nhất: WTI +8.4% | Kém nhất: Lúa mì -1.2%

**BÁO CÁO TỔNG KẾT TUẦN THỊ TRƯỜNG HÀNG HÓA TOÀN CẦU (2026-W29)**

1.  **Sự kiện & xu hướng nổi bật nhất tuần:**
    *   Căng thẳng địa chính trị leo thang giữa Mỹ và Iran, đặc biệt là mối đe dọa phong tỏa Eo biển Hormuz, là động lực chính đẩy giá dầu thô tăng vọt trong phần lớn tuần.
    *   Lo ngại lạm phát toàn cầu gia tăng mạnh mẽ do giá dầu tăng cao, thúc đẩy kỳ vọng về khả năng Cục Dự trữ Liên bang (Fed) và Ngân hàng Trung ương Châu Âu (ECB) sẽ tăng lãi suất.
    *   Thị trường chứng kiến sự đảo chiều mạnh mẽ của giá dầu vào cuối tuần, với Brent giảm sâu sau khi có lúc vượt mốc 100 USD/thùng, cho thấy sự biến động cực đoan.
    *   Yếu tố thời tiết bất lợi và căng thẳng tại Biển Đen tiếp tục hỗ trợ giá một số mặt hàng nông sản.

2.  **Hiệu suất từng nhóm:**
    *   **Năng lượng:** Dầu WTI dẫn đầu mức tăng (+8.4%), Brent tăng (+4.0%). Khí tự nhiên tăng (+2.1%).
    *   **Kim loại quý:** Bạc tăng mạnh (+4.7%), Vàng tăng nhẹ (+1.1%).
    *   **Nông sản:** Ngô tăng mạnh (+8.4%), Đậu tương tăng (+3.0%). Lúa mì giảm (-1.2%).
    *   **Kim loại công nghiệp:** Đồng tăng (+2.0%).

3.  **Yếu tố rủi ro lớn nhất tuần tới:**
    Biến động khó lường của giá dầu do diễn biến căng thẳng địa chính trị Trung Đông và phản ứng chính sách tiền tệ của các ngân hàng trung ương trước áp lực lạm phát.

4.  **Dự báo xu hướng ngắn hạn theo nhóm:**
    *   **Năng lượng:** Tiếp tục biến động mạnh, rủi ro tăng đột biến vẫn cao do địa chính trị, nhưng có thể chịu áp lực điều chỉnh sau đợt tăng nóng và đảo chiều cuối tuần.
    *   **Kim loại quý:** Duy trì xu hướng giằng co, chịu áp lực từ đồng USD mạnh và kỳ vọng lãi suất, nhưng được hỗ trợ bởi nhu cầu trú ẩn an toàn.
    *   **Nông sản:** Tiếp tục được hỗ trợ bởi yếu tố thời tiết và lo ngại nguồn cung, đặc biệt là ngô và đậu tương.
    *   **Kim loại công nghiệp:** Đồng có thể duy trì đà tăng nếu tâm lý thị trường vẫn "ưa rủi ro" và kỳ vọng tăng trưởng kinh tế được giữ vững.
