[HIỆU SUẤT TUẦN — % thay đổi 5 phiên]
  Ngô: +5.9%
  Khí TN: +3.3%
  Đậu t.: +2.4%
  DXY: +0.3%
  Lúa mì: -2.5%
  Đồng: -3.1%
  Vàng: -3.6%
  Brent: -8.3%
  WTI: -8.7%
  Bạc: -11.3%
→ Tốt nhất: Ngô +5.9% | Kém nhất: Bạc -11.3%

**BÁO CÁO TỔNG KẾT TUẦN THỊ TRƯỜNG HÀNG HÓA 2026-W25**

1.  **Sự kiện & xu hướng nổi bật nhất tuần:**
    *   Cục Dự trữ Liên bang Mỹ (Fed) giữ nguyên lãi suất nhưng phát tín hiệu diều hâu về khả năng tăng lãi suất trong tương lai, cùng với đồng USD mạnh lên (DXY +0.3%), gây áp lực lên các tài sản không sinh lời.
    *   Giá dầu thô giảm mạnh do căng thẳng địa chính trị Mỹ-Iran hạ nhiệt, kỳ vọng nới lỏng trừng phạt và việc nối lại hoạt động vận chuyển qua Eo biển Hormuz, làm tăng nguồn cung.
    *   Kim loại quý (vàng, bạc) chịu áp lực giảm giá đáng kể từ chính sách tiền tệ thắt chặt và đồng USD mạnh.
    *   Thị trường nông sản phân hóa: Ngô và đậu tương tăng mạnh, trong khi lúa mì giảm.

2.  **Hiệu suất từng nhóm:**
    *   **Năng lượng:** Dầu thô (Brent -8.3%, WTI -8.7%) giảm mạnh nhất tuần. Khí tự nhiên tăng +3.3%.
    *   **Kim loại quý:** Bạc giảm sâu nhất (-11.3%), Vàng cũng giảm đáng kể (-3.6%).
    *   **Nông sản:** Ngô dẫn đầu đà tăng (+5.9%), Đậu tương (+2.4%), trong khi Lúa mì giảm (-2.5%).
    *   **Kim loại công nghiệp:** Đồng giảm -3.1%.

3.  **Yếu tố rủi ro lớn nhất tuần tới:**
    *   Diễn biến chính sách tiền tệ của Fed và các ngân hàng trung ương lớn khác, đặc biệt là tín hiệu về lãi suất, sẽ tiếp tục chi phối tâm lý thị trường.
    *   Tình hình địa chính trị ở Trung Đông, bao gồm các cuộc đàm phán Mỹ-Iran và khả năng Iraq rời OPEC+, có thể ảnh hưởng lớn đến nguồn cung dầu.
    *   Sự biến động của đồng USD, vốn đang ở mức cao và có thể tiếp tục gây áp lực lên các hàng hóa định giá bằng USD.

4.  **Dự báo xu hướng ngắn hạn theo nhóm:**
    *   **Năng lượng:** Dầu thô có thể tiếp tục xu hướng giảm do nguồn cung dồi dào và căng thẳng địa chính trị hạ nhiệt, mặc dù có thể có các đợt phục hồi kỹ thuật. Khí tự nhiên có thể duy trì đà tăng nếu nhu cầu tiếp tục mạnh.
    *   **Kim loại quý:** Vàng và Bạc dự kiến tiếp tục chịu áp lực giảm giá từ đồng USD mạnh và kỳ vọng lãi suất cao của Fed.
    *   **Nông sản:** Ngô và Đậu tương có thể duy trì xu hướng tăng nếu có yếu tố hỗ trợ về thời tiết hoặc nhu cầu. Lúa mì có thể tiếp tục xu hướng giảm.
    *   **Kim loại công nghiệp:** Đồng có thể tiếp tục chịu áp lực giảm giá do tâm lý thị trường thận trọng và đồng USD mạnh.
