[HIỆU SUẤT TUẦN — % thay đổi 5 phiên]
  Bạc: +6.2%
  Vàng: +2.7%
  Ngô: +2.5%
  Đồng: +1.2%
  Khí TN: +0.5%
  Đậu t.: +0.4%
  Lúa mì: -0.1%
  DXY: -0.6%
  Brent: -0.7%
  WTI: -1.4%
→ Tốt nhất: Bạc +6.2% | Kém nhất: WTI -1.4%

**BÁO CÁO TỔNG KẾT TUẦN THỊ TRƯỜNG HÀNG HÓA (2026-W26)**

1.  **Sự kiện & xu hướng nổi bật nhất tuần:**
    *   Kỳ vọng về chính sách tiền tệ của Cục Dự trữ Liên bang Mỹ (Fed) liên tục thay đổi, từ lo ngại tăng lãi suất sang kỳ vọng nới lỏng, gây biến động mạnh cho đồng USD và các tài sản rủi ro.
    *   Đồng USD suy yếu đáng kể vào cuối tuần (DXY -0.6%), hỗ trợ mạnh mẽ cho các hàng hóa định giá bằng USD, đặc biệt là kim loại quý.
    *   Căng thẳng địa chính trị tại Trung Đông (đặc biệt liên quan đến Iran) tạo ra sự không chắc chắn lớn về nguồn cung dầu mỏ, dẫn đến những biến động giá dầu mạnh mẽ trong phiên.
    *   Áp lực lạm phát ban đầu giảm bớt nhờ giá dầu giảm, nhưng lại dấy lên lo ngại trở lại do các yếu tố địa chính trị.

2.  **Hiệu suất từng nhóm:**
    *   **Kim loại quý:** Bạc dẫn đầu với mức tăng ấn tượng +6.2%, Vàng cũng tăng mạnh +2.7%, phản ánh tâm lý thị trường tích cực và kỳ vọng Fed nới lỏng.
    *   **Năng lượng:** Khí tự nhiên tăng nhẹ +0.5%. Ngược lại, dầu thô chịu áp lực giảm giá với Brent -0.7% và WTI -1.4%, bất chấp các tin tức địa chính trị.
    *   **Nông sản:** Ngô tăng +2.5%, Đậu tương tăng +0.4%. Lúa mì giảm nhẹ -0.1%.
    *   **Kim loại công nghiệp:** Đồng tăng +1.2%, cho thấy nhu cầu ổn định.

3.  **Yếu tố rủi ro lớn nhất tuần tới:**
    *   Sự không chắc chắn về chính sách tiền tệ của Fed và dữ liệu lạm phát sắp tới sẽ tiếp tục chi phối tâm lý thị trường.
    *   Diễn biến căng thẳng địa chính trị tại Trung Đông, đặc biệt là các thông tin liên quan đến nguồn cung dầu từ Iran, có thể gây ra biến động giá dầu đột ngột.

4.  **Dự báo xu hướng ngắn hạn theo nhóm:**
    *   **Kim loại quý:** Tiếp tục xu hướng tăng giá, được hỗ trợ bởi đồng USD yếu và kỳ vọng Fed nới lỏng.
    *   **Năng lượng:** Dầu thô có thể tiếp tục chịu áp lực giảm giá do lo ngại về dư cung, nhưng vẫn rất nhạy cảm với các tin tức địa chính trị. Khí tự nhiên có thể duy trì xu hướng tăng nhẹ.
    *   **Nông sản:** Xu hướng hỗn hợp, phụ thuộc vào yếu tố thời tiết và báo cáo cung cầu mới.
    *   **Kim loại công nghiệp:** Có thể duy trì đà tăng nhẹ, được hỗ trợ bởi đồng USD yếu và triển vọng nhu cầu dài hạn.
