[HIỆU SUẤT TUẦN — % thay đổi 5 phiên]
  Lúa mì: +7.2%
  Ngô: +6.8%
  Brent: +6.6%
  WTI: +5.0%
  Đậu t.: +4.4%
  Đồng: +2.5%
  DXY: +0.0%
  Vàng: +0.0%
  Bạc: -1.0%
  Khí TN: -7.2%
→ Tốt nhất: Lúa mì +7.2% | Kém nhất: Khí TN -7.2%

**BÁO CÁO TỔNG KẾT THỊ TRƯỜNG HÀNG HÓA TUẦN 2026-W27**

1.  **Sự kiện & xu hướng nổi bật nhất tuần:**
    *   Căng thẳng địa chính trị leo thang mạnh mẽ giữa Mỹ và Iran, đặc biệt là việc Mỹ thu hồi miễn trừ trừng phạt dầu mỏ và các cuộc tấn công ở Trung Đông, đã đẩy giá dầu thô tăng vọt.
    *   Dữ liệu việc làm yếu của Mỹ ban đầu làm giảm kỳ vọng Fed tăng lãi suất, hỗ trợ kim loại quý, nhưng sau đó thị trường lại phân vân về định hướng chính sách tiền tệ.
    *   Nhóm nông sản (lúa mì, ngô, đậu tương) ghi nhận mức tăng trưởng ấn tượng, dẫn đầu thị trường.
    *   Khí tự nhiên tiếp tục xu hướng giảm giá mạnh do lo ngại về nguồn cung và nhu cầu.

2.  **Hiệu suất từng nhóm:**
    *   **Năng lượng:** Dầu Brent tăng 6.6%, WTI tăng 5.0%. Ngược lại, Khí tự nhiên giảm mạnh 7.2%.
    *   **Kim loại quý:** Vàng giữ mức 0.0%, trong khi Bạc giảm 1.0%.
    *   **Nông sản:** Lúa mì dẫn đầu với mức tăng 7.2%, Ngô tăng 6.8% và Đậu tương tăng 4.4%.
    *   **Kim loại công nghiệp:** Đồng tăng 2.5%.

3.  **Yếu tố rủi ro lớn nhất tuần tới:**
    Căng thẳng địa chính trị leo thang giữa Mỹ và Iran, cùng với các động thái quân sự và chính sách trừng phạt, có thể gây biến động mạnh cho thị trường dầu mỏ và lan rộng ra các tài sản rủi ro khác.

4.  **Dự báo xu hướng ngắn hạn theo nhóm:**
    *   **Năng lượng:** Dầu thô có thể tiếp tục biến động mạnh với xu hướng tăng nếu căng thẳng địa chính trị không hạ nhiệt. Khí tự nhiên dự kiến duy trì xu hướng giảm hoặc đi ngang.
    *   **Kim loại quý:** Vàng và Bạc có thể chịu áp lực từ đồng USD mạnh lên, nhưng sẽ được hỗ trợ nếu kỳ vọng Fed nới lỏng chính sách tăng trở lại. Xu hướng chung có thể là đi ngang hoặc tăng nhẹ.
    *   **Nông sản:** Với đà tăng mạnh tuần qua, nhóm nông sản có thể duy trì xu hướng tích cực trong ngắn hạn.
    *   **Kim loại công nghiệp:** Đồng có thể tiếp tục tăng trưởng ổn định, được hỗ trợ bởi nhu cầu từ các nền kinh tế lớn như Trung Quốc và Ấn Độ.
